Claims,Beneficiaries,Female_Ratio,Age,Pens_ratio,Depen_ratio
-0.523689181,-0.363988381,0.318899005,0.989854874,1.032382592,0.39103557
0.315298198,-0.246976686,-0.23150811,0.202029599,0.21938898,0.500474089
-0.795031266,0.110599297,0.514211707,-0.724255432,-0.602058639,-0.443807364
-0.299548089,-0.230417451,0.450036158,-0.257356257,-0.25826238,-0.823864469
-0.097803486,2.452157938,0.705181942,-0.673808854,-0.592195631,0.97498032
-0.829272053,-0.296302508,-0.176747441,0.246036188,0.02071983,-0.154047485
2.537582047,-0.35190014,-0.008702954,1.790560127,1.381110355,-0.703059323
0.292960441,-0.225822263,0.217686293,0.495049081,0.573752747,-0.252984403
-0.587628809,-0.354963598,0.010699544,-1.286681105,-0.761275759,-0.741219647
-0.038151298,-0.335423701,0.452591568,-0.787581987,-0.502724064,0.201496748
0.406137107,-0.209159533,-0.19269148,0.14299637,0.1137139,0.369411508
-0.5024086,-0.157163535,0.327079748,-0.639462248,-0.396344484,-0.167696438
0.938190776,-0.365230324,0.496199193,0.53154235,0.324359559,-0.382396766
-1.011654656,-0.385101406,0.540111766,-1.131048047,-0.6830762,-0.724694242
-0.507909836,-0.242071013,0.62532068,-0.084549895,0.031287338,-1.136372327
-0.541837385,0.7448594,-0.198899928,-0.211203005,-0.13920179,0.818519876
1.803744621,-0.240021808,0.57761196,1.274287705,1.257118261,-0.617661007
0.066019787,0.317237852,0.161540501,-0.392596018,-0.226559856,0.980356762
-0.407478025,0.833161521,0.254925138,-0.516029133,-0.320258427,0.912762636
0.086125727,-0.269145362,0.732088462,0.418842549,0.396218613,-1.235823489
-0.70587601,-0.378270722,0.35714271,-0.769335352,-0.546403097,-0.820113921
0.727029468,-0.354901501,0.568626129,0.163389667,0.120758906,-0.003499498
-0.406871127,-0.106119693,0.800120488,-0.726402095,-0.553448102,-0.25108291
-0.6818546,0.394672975,-1.822534353,-0.52890911,-0.556970605,-0.583414011
-0.301094699,-0.228823625,-7.694650962,0.402742578,-0.769025264,-2.885508235
1.567093601,-0.400998272,-0.397421676,1.184127864,0.526551211,0.250209458
0.545116722,-0.352728102,0.137128427,0.496122413,0.542754723,0.16214006
0.419371396,-0.403150972,-0.845807235,-0.186516382,-0.003937688,-0.005789351
0.941518926,8.888981014,0.043227358,-0.107089855,-0.249103873,0.613622758
-0.746929715,1.607947433,-0.481205696,-0.118896501,-0.263193884,-0.174400558
0.293723957,2.078478098,0.053936439,-0.041616638,-0.101863262,0.431569641
-0.873653908,0.383785278,-0.499412024,-0.305656171,-0.29841891,0.121596472
-0.845423368,-0.303692067,-0.431681669,-0.154316439,-0.200493336,-0.021314729
-0.891136483,2.449570557,-0.252408853,-0.226229645,-0.316735924,0.043939555
-1.041725467,0.09451614,-0.551593379,-0.437675938,-0.378731971,-1.388841965
-0.810399487,2.487760293,-0.121819598,-0.885255148,-0.580219122,-0.642020581
-0.078441486,2.708805383,0.023136003,-0.412989315,-0.437910015,0.199404139
-0.328052712,0.154005192,-0.082532424,-0.459142567,-0.342097943,0.146817582
-1.258662094,-0.399921922,-1.087598175,-1.064501498,-0.74929925,-0.473305384
-0.848634053,-0.366058286,-0.573329756,-1.135341373,-0.684485201,-0.741948104
-0.559848548,-0.402364409,-0.301466769,0.36732264,0.182050452,-1.107543329
0.332604577,-0.350554702,0.614415063,-0.128556484,-0.242058868,0.237123484
-0.858422729,-0.382244938,0.369735395,-0.572915699,-0.728164234,0.897854269
-0.146786019,-0.30447863,-0.279169488,-0.114603175,-0.243467869,0.278532037
-0.575197191,-0.360200456,1.154683685,-0.786508655,-0.51117807,-0.498588569
-0.456773795,-0.345297145,1.485090003,-0.734988746,-0.504837566,-0.519555942
0.899251425,-0.364961236,0.99149796,0.575548939,0.389878108,-0.528575178
-1.057759317,-0.28024005,-0.445749177,-0.912088434,-0.711256221,-0.410976068
0.603104836,-0.345793922,0.823439256,0.709715369,0.632226291,-0.558667153
2.199363731,-0.388019971,0.419071437,1.350494237,1.016883581,-0.394916424
-0.891116905,-0.347201457,0.269169515,0.562668962,0.575161748,0.585920649
-0.340171092,-0.137437346,-0.708866569,-0.692055489,-0.358301455,0.980484838
1.160648216,-0.067474578,0.186770172,0.922234994,0.895709489,0.093447943
-1.015374352,-0.398100406,-1.593505783,-1.132121378,-0.539358092,1.400014182
2.621627615,0.731135934,2.626806377,3.079631184,3.426275395,-1.967500731
0.510464811,0.696299443,0.713169488,0.80738853,0.313792051,-0.500053938
-0.221277839,0.195051396,0.22253949,-0.3271228,-0.375209468,0.74752561
-0.309924085,-0.101979884,0.489845669,-0.432309281,-0.343506944,0.050788872
-0.671537336,-0.327019889,0.822268811,-0.823001924,-0.65630518,-0.229923946
-0.197491358,-0.346083708,0.927780206,-0.30458284,-0.056070728,-1.327626518
0.088337968,-0.366596461,1.128310553,0.880375067,0.953478533,-1.03398699
1.526842568,-0.336603546,0.872269882,1.241014431,0.937979521,-0.673412543
-0.125211778,-0.184382778,0.012383748,0.504709064,0.364516089,0.481364244
0.877168173,-0.259830793,0.522865517,1.172321219,0.801306418,-0.528236311
2.904755266,-0.385370494,0.837567876,2.004153083,1.594574016,-1.129249869
-0.53692347,-0.276824708,-0.472312974,-0.694202152,-0.545698596,1.00399052
0.864345008,-0.268896974,-0.113993336,0.432795858,0.167255941,0.525075021
0.702087923,-0.356847211,-0.137855924,0.085036472,0.280680526,-0.285015993
-0.524942131,-0.403916837,0.489298645,0.34478268,0.044672848,-1.085313741
0.51216804,-0.403916837,0.820524913,0.18807629,0.141189421,-1.741781275
-0.628016885,-0.373965321,0.128011273,-0.284189543,-0.261784882,-1.997080587
-0.653741524,0.924133819,-0.67772879,-0.765042027,-0.595718134,1.24292034
0.65155878,0.304425144,-0.265665556,0.275016137,0.132030914,0.418677887
-0.127913452,0.61799496,-0.444193484,-0.534275768,-0.461158533,0.715148519
-1.176123982,-0.394643665,0.221719778,-0.752162049,-0.509064569,-1.034255155
-0.78140543,-0.271898335,-0.259450389,-0.895988462,-0.639397167,1.215078442
1.188526364,-0.139238163,0.864606467,2.049233003,1.91864426,-1.098854492
2.061265096,-0.25707782,0.741053786,2.063186312,2.06518037,-1.335758508
